                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0886,                 4.6067,                 3.4452,                 1.9713,                0.03936,                0.59139,                0.09424,                0.05633,                0.03366,                0.53361,                0.08093,                0.03386,                 1.5694,                 3.2766,                 2.8415,                 1.7278,                 0.0928,                 0.0008,                 0.0008
                      1,                 1.9021,                 4.0994,                 3.1776,                 1.8943,                0.28408,                0.19748,                0.21081,                0.13139,                0.25986,                0.19293,                0.19918,                0.09447,                 1.4311,                 3.1706,                 2.3514,                 1.6001,               0.084363,              0.0013634,              0.0013634
                      2,                 1.7888,                 3.8124,                 2.7786,                 1.8313,                0.47744,                0.40616,                 0.4243,                0.27448,                0.56284,                0.35469,                0.42083,                0.22979,                 1.3096,                 2.6527,                  1.665,                 1.4989,                0.07557,              0.0015704,              0.0015704
                      3,                 1.7135,                 3.4468,                 2.4339,                 1.7087,                0.53397,                0.42997,                0.47153,                0.30974,                0.43556,                0.45658,                0.45601,                0.26936,                 1.2314,                 2.4304,                 1.9688,                 1.4448,               0.066421,               0.001421,               0.001421
                      4,                 1.6045,                 3.3625,                 2.2636,                 1.6758,                0.52675,                0.43452,                 0.4823,                0.33077,                  0.467,                 0.4951,                 0.4737,                 0.2893,                 1.2202,                 2.3386,                 1.9142,                 1.4327,               0.056915,              0.0009152,              0.0009152
