                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2001,                 1.1201,                 1.4033,                0.45243,                0.58966,                0.46165,                0.24349,                 1.9105,                 1.7358,                 1.9469,               0.006733,               0.006733,               0.006733
                     35,                 1.3573,                 1.3251,                 1.5661,                0.45243,                0.58966,                0.46165,                0.24349,                 1.9105,                 1.7358,                 1.9469,               0.006634,               0.006634,               0.006634
                     36,                 1.3143,                   1.18,                 1.5052,                0.45243,                0.58966,                0.46165,                0.24349,                 1.9105,                 1.7358,                 1.9469,               0.006535,               0.006535,               0.006535
                     37,                    1.3,                 1.5142,                 1.5407,                0.47517,                0.49241,                0.42505,                0.24136,                 1.8865,                 1.8587,                 1.9446,               0.006436,               0.006436,               0.006436
                     38,                 1.4258,                 1.3553,                 1.6087,                0.47517,                0.49241,                0.42505,                0.24136,                 1.8865,                 1.8587,                 1.9446,               0.006337,               0.006337,               0.006337
                     39,                 1.3563,                  1.276,                 1.5042,                0.47517,                0.49241,                0.42505,                0.24136,                 1.8865,                 1.8587,                 1.9446,               0.006238,               0.006238,               0.006238
                     40,                 1.3967,                 1.3009,                 1.5564,                0.47517,                0.49241,                0.42505,                0.24136,                 1.8865,                 1.8587,                 1.9446,               0.006139,               0.006139,               0.006139
                     41,                 1.4441,                  1.452,                 1.6395,                0.45289,                0.50273,                0.43063,                0.24842,                 1.9441,                 1.8089,                 1.9883,                0.00604,                0.00604,                0.00604
                     42,                 1.3778,                 1.2732,                 1.5308,                0.45289,                0.50273,                0.43063,                0.24842,                 1.9441,                 1.8089,                 1.9883,               0.005941,               0.005941,               0.005941
                     43,                 1.3311,                 1.2172,                 1.4452,                0.45289,                0.50273,                0.43063,                0.24842,                 1.9441,                 1.8089,                 1.9883,               0.005842,               0.005842,               0.005842
                     44,                 1.2924,                 1.0894,                 1.4277,                0.45289,                0.50273,                0.43063,                0.24842,                 1.9441,                 1.8089,                 1.9883,               0.005743,               0.005743,               0.005743
                     45,                 1.3879,                 1.1753,                 1.5583,                 0.4155,                0.59517,                0.43372,                0.22349,                  1.893,                 1.8976,                 1.9524,               0.005644,               0.005644,               0.005644
                     46,                 1.3298,                 1.2787,                 1.4943,                 0.4155,                0.59517,                0.43372,                0.22349,                  1.893,                 1.8976,                 1.9524,               0.005545,               0.005545,               0.005545
                     47,                  1.456,                 1.2596,                 1.6621,                 0.4155,                0.59517,                0.43372,                0.22349,                  1.893,                 1.8976,                 1.9524,               0.005446,               0.005446,               0.005446
                     48,                 1.2917,                 1.2569,                 1.5077,                 0.4155,                0.59517,                0.43372,                0.22349,                  1.893,                 1.8976,                 1.9524,               0.005347,               0.005347,               0.005347
                     49,                 1.3139,                 1.1618,                 1.5178,                0.51525,                0.47483,                0.42146,                0.22269,                 1.9218,                 1.8269,                 1.9922,               0.005248,               0.005248,               0.005248
                     50,                 1.4106,                 1.4343,                 1.5952,                0.51525,                0.47483,                0.42146,                0.22269,                 1.9218,                 1.8269,                 1.9922,               0.005149,               0.005149,               0.005149
                     51,                 1.2495,                 1.0766,                 1.4384,                0.51525,                0.47483,                0.42146,                0.22269,                 1.9218,                 1.8269,                 1.9922,                0.00505,                0.00505,                0.00505
                     52,                 1.3315,                 1.2548,                 1.5204,                0.51525,                0.47483,                0.42146,                0.22269,                 1.9218,                 1.8269,                 1.9922,               0.004951,               0.004951,               0.004951
